# t    x    y    z    z_dot    theta    theta_dot    Energia
  0.000000       0.175000      -0.303109       0.050000       0.100000       0.523599       0.200000      -0.284105
  0.100000       0.172240      -0.332851       0.074775       0.363486       0.477525      -1.055970      -0.284133
  0.200000       0.135512      -0.392288       0.115034       0.399169       0.332606      -1.754683      -0.284186
  0.300000       0.062850      -0.441413       0.145865       0.186542       0.141434      -2.022639      -0.284239
  0.400000      -0.029304      -0.447152       0.148111      -0.137926      -0.065441      -2.087037      -0.284288
  0.500000      -0.112516      -0.406534       0.121817      -0.354981      -0.270010      -1.954147      -0.284339
  0.600000      -0.164914      -0.347814       0.084930      -0.348236      -0.442749      -1.409009      -0.284368
  0.700000      -0.181772      -0.309232       0.058700      -0.154921      -0.531414      -0.280278      -0.284423
  0.800000      -0.168506      -0.315797       0.057942       0.147505      -0.490156       1.077892      -0.284480
  0.900000      -0.127610      -0.366387       0.087974       0.425766      -0.335153       1.898525      -0.284537
  1.000000      -0.058679      -0.429834       0.133821       0.430415      -0.135676       2.014464      -0.284678
  1.100000       0.027053      -0.460259       0.161053       0.074935       0.058710       1.859698      -0.284784
  1.200000       0.103793      -0.432534       0.144813      -0.377504       0.235511       1.665006      -0.284911
  1.300000       0.148926      -0.365649       0.094814      -0.557796       0.386776       1.299578      -0.285033
  1.400000       0.159731      -0.308810       0.047674      -0.329166       0.477349       0.406088      -0.285164
  1.500000       0.147820      -0.304405       0.038398       0.158477       0.452065      -0.902726      -0.285328
  1.600000       0.118022      -0.358963       0.077867       0.581348       0.317653      -1.649897      -0.285494
  1.700000       0.064567      -0.434619       0.139388       0.561490       0.147480      -1.693839      -0.285756
  1.800000      -0.007850      -0.472664       0.172729       0.060870      -0.016606      -1.593428      -0.285951
  1.900000      -0.077648      -0.442004       0.148773      -0.498582      -0.173897      -1.554420      -0.286180
  2.000000      -0.123768      -0.367109       0.087411      -0.641342      -0.325176      -1.412644      -0.286389
  2.100000      -0.143156      -0.306547       0.038326      -0.284392      -0.436897      -0.696217      -0.286560
  2.200000      -0.145160      -0.304928       0.037717       0.265757      -0.444300       0.553721      -0.286742
  2.300000      -0.129752      -0.362653       0.085166       0.618416      -0.343592       1.347191      -0.286912
  2.400000      -0.086482      -0.436180       0.144671       0.491281      -0.195733       1.559541      -0.287130
  2.500000      -0.016802      -0.468777       0.169078      -0.028568      -0.035826       1.640009      -0.287302
  2.600000       0.058863      -0.436165       0.140119      -0.498480       0.134146       1.753592      -0.287504
  2.700000       0.117501      -0.366086       0.084481      -0.536983       0.310580       1.700273      -0.287660
  2.800000       0.151265      -0.312124       0.046846      -0.182494       0.451278       0.980064      -0.287778
  2.900000       0.163665      -0.310133       0.050669       0.241547       0.485581      -0.313114      -0.287884
  3.000000       0.151625      -0.358010       0.088795       0.472968       0.400618      -1.293754      -0.287950
  3.100000       0.105884      -0.420802       0.133919       0.376536       0.246507      -1.724596      -0.288046
  3.200000       0.029158      -0.453769       0.154705       0.020919       0.064169      -1.900439      -0.288121
  3.300000      -0.057139      -0.434504       0.138245      -0.319915      -0.130753      -1.972592      -0.288207
  3.400000      -0.126752      -0.378996       0.099630      -0.404757      -0.322748      -1.794300      -0.288265
  3.500000      -0.166004      -0.326630       0.066393      -0.233297      -0.470211      -1.046574      -0.288310
  3.600000      -0.175121      -0.310801       0.056741       0.043919      -0.513111       0.229585      -0.288366
  3.700000      -0.155882      -0.341006       0.074945       0.305173      -0.428761       1.380348      -0.288393
  3.800000      -0.105874      -0.398877       0.112689       0.408594      -0.259447       1.907983      -0.288457
  3.900000      -0.028320      -0.445780       0.146678       0.227861      -0.063445       1.967188      -0.288536
  4.000000       0.057854      -0.447365       0.151090      -0.145197       0.128608       1.856429      -0.288606
  4.100000       0.125859      -0.401022       0.120309      -0.431409       0.304109       1.614930      -0.288690
  4.200000       0.159753      -0.339476       0.075186      -0.419396       0.439841       1.012088      -0.288757
  4.300000       0.162133      -0.306406       0.046658      -0.118419       0.486691      -0.145411      -0.288871
  4.400000       0.141765      -0.326827       0.056249       0.305028       0.409268      -1.327556      -0.288962
  4.500000       0.098718      -0.389946       0.102248       0.555709       0.247950      -1.782358      -0.289123
  4.600000       0.031824      -0.450877       0.151999       0.368877       0.070465      -1.733243      -0.289301
  4.700000      -0.044860      -0.461814       0.163988      -0.143232      -0.096835      -1.615776      -0.289451
  4.800000      -0.106848      -0.412879       0.126480      -0.550727      -0.253233      -1.492260      -0.289631
  4.900000      -0.139204      -0.341856       0.069111      -0.521879      -0.386698      -1.089867      -0.289769
  5.000000      -0.145825      -0.302749       0.036039      -0.103261      -0.448876      -0.063955      -0.289947
  5.100000      -0.135486      -0.324831       0.051954       0.400155      -0.395158       1.068888      -0.290080
  5.200000      -0.104680      -0.392909       0.106615       0.618142      -0.260375       1.524707      -0.290287
  5.300000      -0.047786      -0.455482       0.157982       0.339235      -0.104531       1.568428      -0.290484
  5.400000       0.024496      -0.463312       0.163959      -0.219963       0.052822       1.584293      -0.290662
  5.500000       0.089047      -0.410911       0.120449      -0.581605       0.213407       1.605541      -0.290866
  5.600000       0.129898      -0.340585       0.064516      -0.465382       0.364366       1.314226      -0.290999
  5.700000       0.147869      -0.305253       0.039182      -0.021724       0.451103       0.320902      -0.291161
  5.800000       0.147505      -0.328419       0.060023       0.406288       0.422136      -0.847274      -0.291259
  5.900000       0.122286      -0.391653       0.110300       0.533597       0.302639      -1.452247      -0.291393
  6.000000       0.065655      -0.447677       0.152465       0.258035       0.145620      -1.656623      -0.291521
  6.100000      -0.011865      -0.454758       0.154912      -0.202175      -0.026085      -1.770829      -0.291637
  6.200000      -0.085998      -0.409495       0.118427      -0.471006      -0.207001      -1.811666      -0.291765
  6.300000      -0.137355      -0.347653       0.073804      -0.370186      -0.376269      -1.471607      -0.291831
  6.400000      -0.161928      -0.313010       0.052415      -0.046027      -0.477411      -0.457244      -0.291922
  6.500000      -0.161672      -0.326703       0.064517       0.269524      -0.459527       0.784062      -0.291967
  6.600000      -0.132687      -0.378085       0.100692       0.413522      -0.337516       1.564118      -0.292017
  6.700000      -0.071564      -0.431848       0.137738       0.284635      -0.164223       1.845935      -0.292088
  6.800000       0.010841      -0.450089       0.150219      -0.046377       0.024083       1.896556      -0.292146
  6.900000       0.089967      -0.419930       0.129459      -0.339294       0.211053       1.809153      -0.292214
  7.000000       0.143568      -0.363348       0.090683      -0.392327       0.376297       1.419179      -0.292260
  7.100000       0.164859      -0.319719       0.059720      -0.197980       0.476079       0.486347      -0.292322
  7.200000       0.158435      -0.318581       0.055803       0.125804       0.461496      -0.772524      -0.292390
  7.300000       0.126680      -0.362497       0.083995       0.409214       0.336197      -1.626909      -0.292447
  7.400000       0.067934      -0.423058       0.128478       0.422477       0.159218      -1.837502      -0.292569
  7.500000      -0.009894      -0.456098       0.156205       0.094323      -0.021689      -1.762339      -0.292667
  7.600000      -0.084464      -0.435265       0.143384      -0.331372      -0.191669      -1.624254      -0.292777
  7.700000      -0.133503      -0.375259       0.098299      -0.510882      -0.341799      -1.322909      -0.292883
